epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.171,0.56965,0.84924,0.80268,0.84415,0.98345,0.88268,0.9413,0.84916,0.98345,0.88268,0.94352,0.73776,0.48709,1.16081,0.64652,0.84834,0.0803125,0.000198864,0.000198864
2,201.277,0.59364,0.69636,0.58419,0.85463,0.80947,0.91061,0.9282,0.79412,0.80947,0.91061,0.9301,0.80522,0.54415,0.69769,0.64468,0.86709,0.0605109,0.000397284,0.000397284
3,296.16,0.59656,0.77369,0.55025,0.85369,0.96095,0.97765,0.9885,0.8865,0.96095,0.97765,0.9885,0.8969,0.46796,0.51765,0.42228,0.82826,0.0407078,0.000594121,0.000594121
4,388.273,0.56578,0.65852,0.51601,0.84458,0.88588,0.95405,0.97733,0.87738,0.88588,0.95405,0.97733,0.87133,0.44219,0.61107,0.41654,0.82858,0.020903,0.000789373,0.000789373
5,493.107,0.57008,0.70086,0.49758,0.85704,0.93187,0.95531,0.97935,0.89685,0.93187,0.95531,0.97935,0.88828,0.44074,0.47753,0.49407,0.82529,0.00109668,0.000983042,0.000983042
6,593.019,0.53278,0.65381,0.47266,0.84982,0.96958,0.97207,0.98903,0.88009,0.96958,0.97207,0.98903,0.89605,0.47015,0.45541,0.38402,0.83419,0.0009802,0.0009802,0.0009802
7,697.148,0.53286,0.67438,0.4788,0.84237,0.95508,0.96089,0.98516,0.9048,0.95508,0.96089,0.98516,0.90706,0.41027,0.44933,0.37905,0.8182,0.00097624,0.00097624,0.00097624
8,784.55,0.52513,0.66338,0.46669,0.83754,0.95152,0.9869,0.99137,0.92249,0.95152,0.9869,0.99137,0.8953,0.39858,0.44926,0.35158,0.8165,0.00097228,0.00097228,0.00097228
9,871.962,0.51764,0.64105,0.47181,0.84011,0.97757,0.97402,0.99326,0.90316,0.97757,0.97402,0.99326,0.90178,0.45181,0.38515,0.33707,0.82407,0.00096832,0.00096832,0.00096832
10,961.426,0.50296,0.58085,0.43442,0.83021,0.98742,0.97207,0.99393,0.93195,0.98235,0.96648,0.9935,0.89386,0.3736,0.47064,0.32876,0.81355,0.00096436,0.00096436,0.00096436
11,1053.26,0.48982,0.60087,0.44545,0.83518,0.9719,0.96612,0.9888,0.92717,0.9719,0.96612,0.9888,0.90689,0.38485,0.41782,0.36902,0.81617,0.0009604,0.0009604,0.0009604
12,1144.05,0.48089,0.59279,0.43394,0.82598,0.9769,0.97207,0.99143,0.94567,0.9769,0.97207,0.99143,0.9138,0.3689,0.39581,0.36124,0.81241,0.00095644,0.00095644,0.00095644
13,1233.96,0.47632,0.58026,0.42352,0.82726,0.98863,0.9719,0.99353,0.92371,0.98863,0.9719,0.99353,0.91219,0.4018,0.3788,0.30896,0.82045,0.00095248,0.00095248,0.00095248
14,1312.44,0.469,0.57297,0.40581,0.8301,0.97836,0.98883,0.99393,0.92225,0.97836,0.98883,0.99393,0.91958,0.38377,0.37284,0.33375,0.8071,0.00094852,0.00094852,0.00094852
15,1372.39,0.45651,0.58155,0.39343,0.81745,0.9954,0.97765,0.99303,0.94128,0.9954,0.97765,0.99303,0.92847,0.36686,0.39415,0.3287,0.81863,0.00094456,0.00094456,0.00094456
16,1432.58,0.45991,0.57543,0.39615,0.8231,0.98008,0.96648,0.99208,0.93114,0.98008,0.96648,0.99208,0.91774,0.37822,0.34396,0.30834,0.81644,0.0009406,0.0009406,0.0009406
17,1492.45,0.45476,0.54442,0.38905,0.82179,0.98322,0.98186,0.99356,0.94624,0.98322,0.98186,0.99356,0.9263,0.34028,0.34437,0.29863,0.804,0.00093664,0.00093664,0.00093664
18,1552.85,0.4525,0.55092,0.39213,0.82294,0.97443,0.98324,0.99256,0.90846,0.97192,0.98324,0.99256,0.92506,0.43137,0.34745,0.3311,0.81655,0.00093268,0.00093268,0.00093268
19,1612.84,0.44537,0.52765,0.37636,0.82031,0.9655,0.98324,0.99329,0.94226,0.9655,0.98324,0.99329,0.92796,0.34892,0.34644,0.29157,0.80225,0.00092872,0.00092872,0.00092872
20,1671.44,0.44182,0.51146,0.38255,0.81709,0.96737,0.9938,0.99293,0.94867,0.96737,0.9938,0.99293,0.93711,0.34285,0.32636,0.27832,0.80507,0.00092476,0.00092476,0.00092476
21,1731.03,0.43826,0.53977,0.38245,0.81768,1,0.98289,0.99478,0.95413,1,0.98289,0.99478,0.9402,0.34681,0.35541,0.27146,0.80019,0.0009208,0.0009208,0.0009208
22,1791.87,0.44627,0.55119,0.36477,0.81574,0.98325,0.98405,0.9943,0.95426,0.98325,0.98405,0.9943,0.92707,0.33462,0.33344,0.25927,0.80148,0.00091684,0.00091684,0.00091684
23,1850.6,0.43436,0.55026,0.36862,0.82203,0.97789,1,0.99399,0.93429,0.97789,1,0.99399,0.93965,0.34274,0.33696,0.24906,0.79934,0.00091288,0.00091288,0.00091288
24,1909.28,0.42476,0.52251,0.36117,0.81675,0.99666,0.98324,0.99467,0.94956,0.99666,0.98324,0.99467,0.93128,0.34787,0.34329,0.27597,0.79917,0.00090892,0.00090892,0.00090892
25,1967.87,0.41867,0.51629,0.36049,0.81048,0.99434,0.99441,0.99494,0.95092,0.99434,0.99441,0.99494,0.94295,0.32479,0.3259,0.25573,0.79412,0.00090496,0.00090496,0.00090496
26,2026.94,0.42112,0.52562,0.35034,0.81558,0.98726,0.99441,0.99489,0.95899,0.98726,0.99441,0.99489,0.93211,0.32517,0.33531,0.25925,0.7953,0.000901,0.000901,0.000901
27,2085.54,0.41572,0.50128,0.34863,0.81544,0.97705,1,0.99432,0.95098,0.97705,1,0.99432,0.93709,0.35338,0.32356,0.26487,0.80166,0.00089704,0.00089704,0.00089704
28,2145.64,0.41681,0.5109,0.3443,0.81065,1,0.99234,0.995,0.94104,1,0.99234,0.995,0.92563,0.35866,0.32432,0.26495,0.80728,0.00089308,0.00089308,0.00089308
29,2204.73,0.40995,0.50248,0.35162,0.80969,0.9888,0.98659,0.99444,0.95525,0.9888,0.98659,0.99444,0.93045,0.31882,0.32499,0.26069,0.79921,0.00088912,0.00088912,0.00088912
30,2263.75,0.39703,0.50833,0.3424,0.80474,0.98322,0.98174,0.99382,0.95552,0.98322,0.98174,0.99382,0.93916,0.33998,0.36772,0.27262,0.80367,0.00088516,0.00088516,0.00088516
31,2323.87,0.41082,0.50953,0.35918,0.8047,0.98104,0.98883,0.99415,0.95225,0.98104,0.98883,0.99415,0.91405,0.32103,0.34748,0.2463,0.79307,0.0008812,0.0008812,0.0008812
32,2382.32,0.40319,0.49894,0.33971,0.80831,0.9835,0.99905,0.99361,0.95985,0.9835,0.99905,0.99361,0.94156,0.30988,0.31592,0.24217,0.79549,0.00087724,0.00087724,0.00087724
33,2442.87,0.39764,0.48913,0.33522,0.80762,0.98875,0.98215,0.99352,0.9601,0.98875,0.98215,0.99352,0.93783,0.30415,0.34614,0.24519,0.79496,0.00087328,0.00087328,0.00087328
34,2501.51,0.39403,0.49178,0.35754,0.80631,0.97776,0.98235,0.99375,0.94924,0.97776,0.98235,0.99375,0.93134,0.33128,0.3591,0.27027,0.80429,0.00086932,0.00086932,0.00086932
35,2560.09,0.39915,0.51177,0.33762,0.80689,0.9888,0.98662,0.99462,0.96061,0.9888,0.98662,0.99462,0.9481,0.30119,0.29789,0.24096,0.79218,0.00086536,0.00086536,0.00086536
36,2619.62,0.40058,0.47569,0.33555,0.80918,0.96751,0.99815,0.99434,0.96048,0.96751,0.99815,0.99434,0.94895,0.32394,0.3011,0.24322,0.79934,0.0008614,0.0008614,0.0008614
37,2678.38,0.39617,0.50556,0.34052,0.80708,0.98341,0.99368,0.99455,0.95354,0.98341,0.99368,0.99455,0.94824,0.33759,0.3185,0.24734,0.80049,0.00085744,0.00085744,0.00085744
38,2738.63,0.40146,0.46604,0.34758,0.80593,0.98881,0.98772,0.99421,0.95382,0.98881,0.98772,0.99421,0.92953,0.34543,0.29207,0.2611,0.8114,0.00085348,0.00085348,0.00085348
39,2797.42,0.39108,0.47004,0.3279,0.80371,0.99222,0.99441,0.99489,0.9532,0.99222,0.99441,0.99489,0.93722,0.32162,0.30992,0.23736,0.80456,0.00084952,0.00084952,0.00084952
