epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2083,0.57653,0.83331,0.80752,0.85055,0.92516,0.91571,0.95542,0.8353,0.92516,0.91571,0.95258,0.78294,0.47519,1.02895,2.41817,0.84126,0.0803048,0.000198942,0.000198942
2,125.784,0.58781,0.75529,0.60929,0.85671,0.97151,0.9418,0.98038,0.86303,0.97151,0.9418,0.97491,0.80805,0.5375,1.23964,0.46637,0.85444,0.0605032,0.000397362,0.000397362
3,186.249,0.57324,0.73456,0.52635,0.84767,0.96189,0.9348,0.9753,0.86288,0.96733,0.94009,0.97747,0.86097,0.51212,0.53267,0.46712,0.84293,0.0407,0.000594198,0.000594198
4,246.635,0.57822,0.75926,0.52237,0.84795,0.96486,0.93651,0.96738,0.8702,0.96486,0.93651,0.96869,0.87788,0.47936,0.51595,0.42325,0.83618,0.0208953,0.00078945,0.00078945
5,306.738,0.57535,0.69559,0.52958,0.85464,0.98463,0.9418,0.97907,0.84906,0.98463,0.9418,0.97907,0.88772,0.48671,0.55628,0.42087,0.84094,0.00108894,0.000983119,0.000983119
6,366.423,0.58318,0.70722,0.533,0.85379,0.9861,0.9418,0.98207,0.8916,0.9861,0.9418,0.98207,0.89128,0.42648,0.47085,0.36012,0.81316,0.0009802,0.0009802,0.0009802
7,426.041,0.55745,0.68184,0.49755,0.84727,0.96801,0.96056,0.97881,0.89047,0.96801,0.96056,0.97881,0.88881,0.44975,0.44246,0.37326,0.82232,0.00097624,0.00097624,0.00097624
8,485.269,0.53844,0.64043,0.48221,0.84847,0.95689,0.93943,0.97172,0.88286,0.95689,0.93943,0.97576,0.82947,0.42762,0.72519,0.50107,0.81996,0.00097228,0.00097228,0.00097228
9,544.864,0.52136,0.63036,0.45511,0.83506,0.98262,0.96296,0.98527,0.89436,0.98262,0.96296,0.98527,0.90368,0.46008,0.41119,0.35236,0.83031,0.00096832,0.00096832,0.00096832
10,604.793,0.50826,0.6307,0.44719,0.83933,0.97889,0.88889,0.96579,0.89701,0.97889,0.88889,0.96579,0.87828,0.38973,0.43227,0.50932,0.80466,0.00096436,0.00096436,0.00096436
11,664.138,0.49496,0.60082,0.42651,0.82959,0.96046,0.95238,0.98056,0.90542,0.96046,0.95238,0.9855,0.88776,0.39513,0.4209,0.33561,0.82371,0.0009604,0.0009604,0.0009604
12,723.612,0.48395,0.61044,0.43157,0.83082,0.98366,0.95556,0.98634,0.91605,0.98366,0.95556,0.98297,0.89918,0.38419,0.44512,0.32115,0.80923,0.00095644,0.00095644,0.00095644
